Date,Open,High,Low,Close,Change %,Volume
"Jun. 22, 2023",10.31,10.54,10.20,10.30,-5.24,"10,061,451"
"Jun. 21, 2023",10.77,10.88,10.32,10.87,+0.83,"5,385,456"
"Jun. 20, 2023",10.16,10.91,10.13,10.78,+5.58,"5,599,115"
"Jun. 16, 2023",10.25,10.38,10.14,10.21,-0.68,"5,015,003"
"Jun. 15, 2023",10.19,10.43,10.08,10.28,+0.19,"2,788,818"
"Jun. 14, 2023",10.40,10.47,10.20,10.26,-1.25,"6,449,255"
"Jun. 13, 2023",10.62,10.66,10.26,10.39,+2.67,"7,601,439"
"Jun. 12, 2023",9.88,10.16,9.84,10.12,+1.71,"3,358,508"
"Jun. 09, 2023",10.06,10.19,9.93,9.95,+0.20,"2,823,871"
"Jun. 08, 2023",10.25,10.39,9.93,9.93,-3.59,"2,667,397"
"Jun. 07, 2023",10.45,10.46,10.07,10.30,-0.19,"8,066,759"
"Jun. 06, 2023",10.24,10.46,10.22,10.32,+0.49,"3,711,628"
"Jun. 05, 2023",10.11,10.50,10.06,10.27,+1.08,"3,155,409"
"Jun. 02, 2023",10.20,10.43,9.99,10.16,+0.59,"5,095,054"
"Jun. 01, 2023",9.84,10.22,9.84,10.10,+1.51,"5,188,845"
"May 31, 2023",10.01,10.08,9.87,9.95,-1.29,"6,042,628"
"May 30, 2023",10.56,10.59,9.71,10.08,-3.45,"8,464,191"
"May 26, 2023",11.39,11.39,10.03,10.44,-13.86,"12,819,482"
"May 25, 2023",12.05,12.67,11.89,12.12,+1.00,"5,226,120"
"May 24, 2023",12.40,12.54,11.90,12.00,-4.53,"4,164,705"
"May 23, 2023",12.65,13.19,12.51,12.57,-0.63,"5,454,681"
"May 22, 2023",12.63,12.83,12.45,12.65,+2.51,"7,328,516"
"May 19, 2023",12.49,12.70,12.26,12.34,-0.80,"4,532,083"
"May 18, 2023",12.34,12.53,12.15,12.44,-0.56,"5,600,223"
"May 17, 2023",12.24,12.55,11.95,12.51,+3.30,"3,297,310"
"May 16, 2023",12.36,12.48,12.03,12.11,-3.20,"3,332,439"
"May 15, 2023",12.37,12.71,12.14,12.51,+2.37,"5,590,560"
"May 12, 2023",12.35,12.65,12.07,12.22,-0.33,"4,000,270"
"May 11, 2023",11.75,12.47,11.69,12.26,+5.24,"5,948,183"
"May 10, 2023",11.39,12.05,11.36,11.65,+4.11,"7,496,161"
"May 09, 2023",11.20,11.46,11.05,11.19,-1.15,"3,289,154"
"May 08, 2023",10.81,12.06,10.81,11.32,+5.11,"10,107,398"
"May 05, 2023",10.25,10.96,10.17,10.77,+6.63,"8,025,469"
"May 04, 2023",9.83,10.18,9.81,10.10,+2.64,"4,473,319"
"May 03, 2023",9.38,10.01,9.29,9.84,+5.81,"3,996,122"
"May 02, 2023",9.62,9.74,9.23,9.30,-4.22,"2,998,805"
"May 01, 2023",9.81,10.00,9.61,9.71,-1.32,"2,204,557"
"Apr. 28, 2023",9.38,9.88,9.34,9.84,+4.13,"3,184,886"
"Apr. 27, 2023",9.19,9.47,9.10,9.45,+2.94,"2,782,165"
"Apr. 26, 2023",9.19,9.49,9.02,9.18,+0.99,"3,319,529"
"Apr. 25, 2023",9.00,9.12,8.93,9.09,-1.20,"2,501,147"
"Apr. 24, 2023",9.17,9.27,9.02,9.20,+2.00,"2,611,941"
"Apr. 21, 2023",9.10,9.19,8.87,9.02,-1.10,"1,832,705"
"Apr. 20, 2023",8.84,9.26,8.81,9.12,+1.90,"2,719,887"
"Apr. 19, 2023",9.01,9.16,8.72,8.95,-2.61,"4,039,253"
"Apr. 18, 2023",9.11,9.30,9.03,9.19,+1.66,"3,485,648"
"Apr. 17, 2023",9.20,9.22,8.92,9.04,-2.27,"2,364,476"
"Apr. 14, 2023",9.00,9.43,8.95,9.25,+2.78,"3,956,824"
"Apr. 13, 2023",8.72,9.33,8.65,9.00,+4.17,"4,862,420"
"Apr. 12, 2023",8.52,8.75,8.52,8.64,+1.41,"6,181,520"
"Apr. 11, 2023",7.90,8.64,7.80,8.52,+9.51,"7,326,958"
"Apr. 10, 2023",7.70,7.95,7.56,7.78,+0.52,"3,267,605"
"Apr. 06, 2023",7.64,7.83,7.63,7.74,+0.78,"2,589,798"
"Apr. 05, 2023",7.79,7.86,7.66,7.68,-2.78,"3,346,796"
"Apr. 04, 2023",8.15,8.23,7.87,7.90,-3.19,"2,127,339"
"Apr. 03, 2023",8.56,8.57,8.12,8.16,-4.78,"1,878,669"
"Mar. 31, 2023",8.41,8.71,8.41,8.57,+2.02,"6,108,021"
"Mar. 30, 2023",8.64,8.80,8.35,8.40,-0.24,"2,844,490"
"Mar. 29, 2023",8.42,8.63,8.35,8.42,+1.08,"3,492,043"
"Mar. 28, 2023",8.38,8.65,8.29,8.33,+4.13,"3,001,264"
"Mar. 27, 2023",8.08,8.18,7.91,8.00,+1.39,"2,456,915"
"Mar. 24, 2023",7.67,7.95,7.63,7.89,+1.54,"1,967,623"
"Mar. 23, 2023",8.06,8.10,7.70,7.77,-2.63,"2,984,315"
"Mar. 22, 2023",8.32,8.39,7.97,7.98,-3.62,"2,347,784"
"Mar. 21, 2023",8.00,8.38,7.91,8.28,+6.15,"2,553,483"
"Mar. 20, 2023",7.97,7.97,7.67,7.80,-1.39,"4,780,091"
"Mar. 17, 2023",8.22,8.23,7.74,7.91,-3.65,"4,062,978"
"Mar. 16, 2023",8.27,8.32,8.03,8.21,-0.97,"2,585,554"
"Mar. 15, 2023",8.16,8.33,7.94,8.29,-1.19,"3,772,971"
"Mar. 14, 2023",8.31,8.60,8.24,8.39,+4.09,"2,715,787"
"Mar. 13, 2023",8.10,8.35,7.76,8.06,-2.54,"3,991,639"
"Mar. 10, 2023",8.67,8.73,8.18,8.27,-5.92,"8,516,149"
"Mar. 09, 2023",9.24,9.26,8.73,8.79,-4.87,"2,015,182"
"Mar. 08, 2023",8.95,9.25,8.94,9.24,+4.52,"2,775,345"
"Mar. 07, 2023",8.86,9.11,8.69,8.84,-0.67,"2,847,455"
"Mar. 06, 2023",8.81,9.25,8.80,8.90,-0.22,"3,513,936"
"Mar. 03, 2023",9.10,10.09,8.84,8.92,+5.44,"8,792,796"
"Mar. 02, 2023",0.00,8.59,8.29,8.46,-1.17,"65,525"
"Mar. 01, 2023",8.79,8.86,8.44,8.56,-1.27,"2,930,647"
"Feb. 28, 2023",8.68,8.79,8.63,8.67,+0.12,"1,925,911"
"Feb. 27, 2023",8.91,8.97,8.66,8.66,-2.26,"2,030,960"
"Feb. 24, 2023",8.83,8.96,8.78,8.86,-1.77,"1,580,090"
"Feb. 23, 2023",9.10,9.11,8.88,9.02,+0.67,"928,476"
"Feb. 22, 2023",9.02,9.13,8.84,8.96,+0.56,"1,176,725"
"Feb. 21, 2023",9.05,9.21,8.91,8.91,-3.26,"1,557,539"
"Feb. 17, 2023",9.25,9.37,9.11,9.21,-2.33,"2,313,953"
"Feb. 16, 2023",9.39,9.62,9.27,9.43,-2.38,"1,538,671"
"Feb. 15, 2023",9.25,9.69,9.25,9.66,+3.65,"2,513,965"
"Feb. 14, 2023",9.13,9.39,9.03,9.32,+0.87,"2,076,341"
"Feb. 13, 2023",9.11,9.31,9.05,9.24,+1.65,"2,322,102"
"Feb. 10, 2023",9.14,9.21,8.99,9.09,-1.73,"3,151,692"
"Feb. 09, 2023",9.32,9.44,9.22,9.25,+0.11,"4,117,143"
"Feb. 08, 2023",9.13,9.31,9.07,9.24,+0.43,"2,706,683"
"Feb. 07, 2023",9.12,9.31,9.00,9.20,-0.11,"2,609,184"
"Feb. 06, 2023",9.36,9.51,9.07,9.21,-4.46,"3,544,341"
"Feb. 03, 2023",9.86,10.10,9.59,9.64,-5.30,"2,608,372"
"Feb. 02, 2023",10.74,10.75,9.98,10.18,+0.79,"6,315,121"
"Feb. 01, 2023",10.11,10.23,9.87,10.10,+0.10,"2,374,270"
"Jan. 31, 2023",10.06,10.14,9.92,10.09,+2.13,"2,759,790"
"Jan. 30, 2023",10.05,10.25,9.86,9.88,-5.36,"2,010,637"
"Jan. 27, 2023",10.28,10.66,10.10,10.44,+1.06,"2,755,277"
"Jan. 26, 2023",9.81,10.37,9.80,10.33,+7.38,"3,836,952"
"Jan. 25, 2023",9.22,9.64,9.08,9.62,+2.89,"2,137,770"
"Jan. 24, 2023",8.94,9.39,8.91,9.35,+2.86,"2,608,027"
"Jan. 23, 2023",8.99,9.18,8.92,9.09,+2.48,"4,128,428"
"Jan. 20, 2023",8.85,9.04,8.67,8.87,-1.22,"3,912,726"
"Jan. 19, 2023",8.99,9.07,8.77,8.98,-1.64,"2,425,367"
